Sample,Bag_Mass,Sample_Mass_Added,Combined_Mass,Sample_Mass,Mass_added_minus_actual,NDF,ADF,Percentage_NDF,Proportion_NDF,Post_NDF_Bag_Mass,Percentage_ADF,Proportion_ADF,Treatment
b1,0.5397,0.4908,1.0173,0.4776,0.0132,0.848,0.782,46.9422072987954,0.469422072987954,0.623804017940953,37.3991974866502,0.210635102825756,b-Old
b2,0.5158,0.4909,1.0063,0.4905,4e-04,0.7916,0.7535,39.8410668161273,0.398410668161273,0.596179567266896,36.0527272050075,0.223393919833959,b-Old
b3,0.4956,0.499,0.9939,0.4983,7e-04,0.8047,0.739,46.5318673106734,0.465318673106734,0.572831705190914,37.1105977118412,0.229802545542568,b-Old
b4,0.4857,0.461,0.9462,0.4605,5e-04,0.7734,0.7165,46.0393178926882,0.460393178926882,0.561388941104171,37.6743214550627,0.224321502845311,b-New
b5,0.5315,0.4961,1.0214,0.4899,0.0062,0.8659,0.7965,51.3520773750128,0.513520773750128,0.614326172939812,41.2913082414872,0.23361371876088,b-New
b6,0.4972,0.4645,0.961,0.4638,7e-04,0.849,0.7807,59.1459592926061,0.591459592926061,0.574681040800893,48.4763513987939,0.264821340150302,b-New
b7,0.5182,0.4983,1.0121,0.4939,0.0044,0.8771,0.7986,56.3163452759943,0.563163452759943,0.598953570681864,44.3926788873889,0.249977700404531,b-New
c1,0.5406,0.495,1.0316,0.491,0.004,0.8822,0.8144,52.414609119844,0.52414609119844,0.624844269221566,42.7723772867283,0.238055285057624,c-Old
c2,0.5467,0.4872,1.0297,0.483,0.0042,0.8507,0.8195,45.3012709659192,0.453012709659192,0.63189486123461,43.1247636180767,0.244848487451875,c-Old
c3,0.5501,0.4873,1.0115,0.4614,0.0259,0.9837,0.8912,75.3956004755494,0.753956004755494,0.635824699405815,59.8594339462508,0.280767945743622,c-Old
c4,0.5638,0.4982,1.0414,0.4776,0.0206,0.9574,0.9006,64.0159892030448,0.640159892030448,0.651659635566258,56.5902237490804,0.282300928165457,c-New
c5,0.5324,0.4776,1,0.4676,0.01,0.9031,0.7929,61.5341265567953,0.615341265567953,0.615366424220425,42.2754329248589,0.218890404558344,c-New
c6,0.5579,0.4991,1.0479,0.49,0.0091,0.8921,0.8325,50.4611815297018,0.504611815297018,0.644840210504461,42.6063416330248,0.234022053583479,c-New
c7,0.543,0.497,,0.487266045632557,,0.9118,0.8086,58.3216766098585,0.583216766098585,0.627618272636534,41.3591688500412,0.221023455321439,c-New
